,Country,Max_Temp
0,Germany,24.293333333333333
1,Belgium,24.304666666666662
2,Croatia,27.698000000000004
3,Denmark,21.05666666666667
4,Spain,29.76066666666667
5,France,25.609333333333336
6,Ireland,18.59466666666667
7,Latvia,22.212666666666667
8,Luxembourg,24.60066666666667
9,Netherlands,23.366666666666664
10,Sweden,18.904
11,Bulgaria,28.55066666666666
12,Slovakia,25.13066666666667
13,Estonia,21.577333333333332
14,Greece,30.040666666666667
15,Malta,30.524
16,Poland,24.54733333333333
17,Czech Republic,24.798666666666666
18,Austria,21.832000000000004
19,Cyprus,33.38933333333333
20,Slovenia,24.912666666666667
21,Finland,19.759333333333334
22,Hungary,28.352
23,Italy,26.570666666666668
24,Lituania,23.236666666666668
25,Portugal,29.234666666666666
26,Romania,27.31866666666667
27,Great Britain,19.376666666666665
28,Iceland,11.662666666666667
29,Norway,15.986666666666666
