,Country,Mean_temp
0,Germany,18.863333333333333
1,Belgium,18.862666666666666
2,Croatia,21.68466666666667
3,Denmark,16.773333333333337
4,Spain,22.566000000000003
5,France,19.996666666666666
6,Ireland,14.629333333333335
7,Latvia,17.272000000000002
8,Luxembourg,18.934
9,Netherlands,18.206000000000003
10,Sweden,13.693999999999997
11,Bulgaria,22.286
12,Slovakia,18.771333333333335
13,Estonia,16.872666666666667
14,Greece,23.836000000000002
15,Malta,26.691999999999997
16,Poland,18.962666666666667
17,Czech Republic,18.936666666666667
18,Austria,16.882
19,Cyprus,27.860000000000003
20,Slovenia,19.385333333333335
21,Finland,14.741999999999999
22,Hungary,21.908
23,Italy,21.884666666666664
24,Lituania,17.938666666666666
25,Portugal,22.445333333333334
26,Romania,20.986666666666668
27,Great Britain,15.088666666666667
28,Iceland,8.481333333333334
29,Norway,11.728000000000002
